2016-02-11 20:57:35,644 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\src\main\resources
2016-02-11 20:57:35,647 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 20:57:35,648 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\src\test\resources
2016-02-11 20:57:36,710 [Worker-50] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-02-11 20:57:39,376 [Worker-50] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 18_Configuration_Bean_without_ConfigurationFile:18_Configuration_Bean_without_ConfigurationFile:0.0.1-SNAPSHOT @ F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\pom.xml.
2016-02-11 20:57:39,831 [Worker-50] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /18_Configuration_Bean_without_ConfigurationFile/src
2016-02-11 20:57:39,832 [Worker-50] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /18_Configuration_Bean_without_ConfigurationFile/src/test/java because it overlaps with /18_Configuration_Bean_without_ConfigurationFile/src
2016-02-11 20:57:41,176 [Worker-50] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 4 sec
2016-02-11 20:57:42,386 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 20:57:42,387 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\src\main\resources
2016-02-11 20:57:42,390 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 20:57:42,391 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\src\test\resources
2016-02-11 21:00:01,162 [Worker-56] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: 18_Configuration_Bean_without_ConfigurationFile:18_Configuration_Bean_without_ConfigurationFile:0.0.1-SNAPSHOT @ F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\pom.xml.
2016-02-11 21:00:01,396 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-11 21:00:01,397 [Worker-56] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\Sriman\SpringAnnotation\18_Configuration_Bean_without_ConfigurationFile\src\main\resources
2016-02-11 21:00:01,400 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
